restaurant_id,restaurant_name,address,lat,long,rating,price,category,review_count
tD1pDzU-x8gGodC4nGnY9g,NORMA'S,119 W 56th St,40.7641277134065,-73.9783795227192,3.5,$$$,Breakfast & Brunch,1717
qYqe-kArMUebiEvxUPUlVg,The Picnic Basket,65 W 37th St,40.7516246,-73.9858858,4.0,$$,Cafes,442
QH9vS9_Q5um3b8sZntZiyw,The Jolly Goat Coffee Bar,515 W 47th St,40.7633010644103,-73.9941928334518,4.5,$,Coffee & Tea,341
wrFoBJM9SsHIfz2VaqgmSg,Dallas BBQ,241 W 42nd St,40.7569835859189,-73.9888188242912,3.0,$$,Barbeque,1773
-QIPdiq5ILg_EJqdVoCqEA,Istanbul Kebab House,712 9th Ave,40.76256,-73.98941,4.0,$$,Turkish,542
u-MUL83NUy2gsbV80WZnAA,The Marshal,628 10th Ave,40.76122,-73.99396,4.0,$$$,American (Traditional),726
ryng69yOCoveA68KE6jl-Q,STK Midtown,1114 Avenue Of The Americas,40.754669,-73.98285,3.5,$$$,Steakhouses,981
wRHUJ69-f4CiV5BRY72mUg,Aqua Boil,750 9th Ave,40.763702,-73.988386,4.5,$$,Seafood,230
S-BwjmHOZ--bC4nUR4-cmA,Oceana,120 W 49th St,40.7597971248568,-73.9825657859833,4.0,$$$,Seafood,532
h4VCnZ2aZ33mdenS_ZI7jQ,Mama Mia 44 SW,621 9th Ave,40.759761,-73.992065,4.0,$$,Pizza,581
qs5aBgcT2v1BFlW-XqQS0Q,Biryani Cart,46th St & 6th Ave,40.757403,-73.9822503,3.5,$,Indian,542
228DO__YwYmliMx6Q5jTtw,Turco Mediterranean Grill,604 9th Ave,40.75913,-73.9918,4.0,$$,Mediterranean,556
MwcRbM6lS6_8N67LmyBELA,99 Cent Fresh Pizza,1723 Broadway,40.76458,-73.98247,4.0,$,Pizza,520
AT12PEBFRWFox6l2tr7w4w,Junior's Restaurant & Bakery - 49th St.,1626 Broadway,40.76095,-73.9841299,3.5,$$,American (Traditional),693
Nz3ednIoYXg1NwOn7jnTOQ,The Counter,7 Times Square,40.7554585,-73.9869055,3.5,$$,Burgers,884
MvmuCDXPliFUYJ7B7Y02AA,Menkui-Tei,58 W 56th St,40.76326,-73.97706,3.5,$$,Ramen,1050
Jhx4OoFjXFp0YxqbW0KQog,Butter Midtown,70 W 45th St,40.7562781,-73.9823303,3.5,$$$,American (New),1011
goqTQ4tOD-asC_ZJBW9l7w,Patsy's Italian Restaurant,236 W 56th St,40.76553,-73.98274,4.0,$$$,Italian,912
