,restaurant_id,location,restaurant_name,address,lat,long,rating,price,category,review_count
311,51YLgpfHKfXxOkDFe9sT-w,Times Square,Balade - Your Way,144 West 37th St,40.7524299621582,-73.9887237548828,4.5,$$,Lebanese,350
312,Bjv99EWQdyJUGzAZYQ_WOA,Times Square,Bubba Gump Shrimp Co.,1501 Broadway,40.7572071,-73.9863737,3.5,$$,Seafood,1054
313,8iSU_z2JkjjUEjm-Ur470w,Times Square,Nippori,245 W 51st St,40.7628542,-73.984939,4.0,$$,Tapas/Small Plates,829
314,neQM053ovAOrf1sVSAPI9w,Times Square,Radiance Tea House and Books,158 W 55th St,40.7639799,-73.98065,4.0,$$,Asian Fusion,850
315,qCf1QN11Qdncpqb7PhuyVw,Times Square,The Rag Trader & Bo Peep Cocktail and Highball Store,70 W 36th St,40.75059,-73.98628000000001,4.5,$$,Bars,439
316,eTR6nfHvQzvKX7Dcd6JrfA,Times Square,District Social,252 W 37th St,40.7535743713379,-73.9914321899414,4.0,$$,Bars,702
317,OxqUWRZFUOz3r6_4bh4mfg,Times Square,Cock & Bull,23 W 45th St,40.756090882367296,-73.9804858350908,4.0,$$,British,543
318,UB1mGugr1pvgUUP1eTNXrg,Times Square,Stone Bridge Pizza & Salad,16 E 41st St,40.75225,-73.98061,4.5,$$,Pizza,272
319,ddKmJRZ3D1iS-gbZq03OWQ,Times Square,Friedmans,228 W 47th St,40.7595053740559,-73.9854379268717,4.0,$$,Breakfast & Brunch,566
320,wJ9VnRlrJJP5QnVohBDjoA,Times Square,Russian Vodka Room,265 W 52nd St,40.763490000000004,-73.9848,4.0,$$,Lounges,546
321,raqwXUBlnc0e8c7CYmxEJQ,Times Square,Scarpetta,88 Madison Ave,40.744509,-73.9856,4.0,$$$,Italian,1904
322,CYYLEipRFmr73Hz6XNEzoQ,Times Square,Little Italy Pizza,55 W 45th St,40.756482,-73.981484,4.0,$,Pizza,499
323,B55Ocx5RBWxo6AGSucYSIA,Times Square,ilili,236 5th Ave,40.74435,-73.98778,4.0,$$$,Mediterranean,2382
324,8-Ug0Zjs5sL6MARspRJ7CA,Times Square,Bond 45,221 W 46th St,40.7591637016814,-73.9859788257256,3.5,$$,Italian,719
325,gXnC_aZR09BvqEQKGKFjBg,Times Square,BCD Tofu House,5W 32nd St,40.747503631444005,-73.98624472083209,4.0,$$,Korean,2023
326,lYIZYnnEpjbWu7ZM-SuCkQ,Times Square,Taladwat,714 9th Ave,40.76262,-73.98935999999999,4.5,$$,Thai,250
327,JeCtYANe0eqW8xe1SN3lWg,Times Square,Turntable Chicken Jazz,20 W 33rd St,40.74828,-73.98649,4.0,$$,Chicken Wings,2030
328,Ti-957LNURM0Gy2CXIbQOw,Times Square,Hummus Kitchen,768 9th Ave,40.76427,-73.98796999999999,4.0,$$,Middle Eastern,780
329,00mykkev3tKCjTsKV60yOA,Times Square,Sushi of Gari 46,347 W 46th St,40.76072,-73.98957,4.0,$$$$,Sushi Bars,680
330,Fv6ueSQwc_ITpXEhybHvtA,Times Square,Haru Sushi,229 West 43rd St,40.75742253871879,-73.9874100349182,3.5,$$,Japanese,760
